season,celebrity_name,placement,pred_final_rank_survival,pred_final_rank_pct,pred_final_rank_rank,pred_final_rank_new,pred_final_rank_new_pct
1,John O'Hurley,2,1,1,1,1,1
1,Joey McIntyre,3,2,2,2,2,2
1,Rachel Hunter,4,3,3,3,3,3
1,Evander Holyfield,5,4,4,4,4,4
1,Trista Sutter,6,5,5,5,5,5
2,Stacy Keibler,3,1,1,1,1,1
2,Jerry Rice,2,2,2,2,2,2
2,Lisa Rinna,4,3,3,3,3,3
2,George Hamilton,5,4,4,4,4,4
2,Tia Carrere,6,5,5,5,5,5
2,Master P,7,6,6,6,6,6
2,Giselle Fernandez,8,7,7,7,7,7
2,Tatum O'Neal,9,8,8,8,8,8
2,Kenny Mayne,10,9,9,9,9,9
3,Mario Lopez,2,1,1,1,1,1
3,Joey Lawrence,3,2,2,2,2,2
3,Monique Coleman,4,3,3,3,3,3
3,Jerry Springer,5,4,4,4,4,4
3,Willa Ford,7,5,5,5,5,5
3,Sara Evans,6,6,6,6,6,6
3,Vivica A. Fox,8,7,7,7,7,7
3,Harry Hamlin,9,8,8,8,8,8
3,Shanna Moakler,10,9,9,9,9,9
3,Tucker Carlson,11,10,10,10,10,10
4,Joey Fatone,2,1,1,1,2,1
4,Laila Ali,3,2,2,2,1,2
4,Ian Ziering,4,3,3,3,3,3
4,Billy Ray Cyrus,5,4,4,4,4,4
4,John Ratzenberger,6,5,5,5,5,5
4,Heather Mills,7,6,6,6,6,6
4,Clyde Drexler,8,7,7,7,7,7
4,Leeza Gibbons,9,8,8,8,8,8
4,Shandi Finnessey,10,9,9,9,9,9
4,Paulina Porizkova,11,10,10,10,10,10
5,Mel B,2,1,1,1,2,1
5,Marie Osmond,3,2,2,2,1,2
5,Jennie Garth,4,3,3,3,3,3
5,Cameron Mathison,5,4,4,4,4,4
5,Jane Seymour,6,5,5,5,5,5
5,Sabrina Bryan,7,6,6,6,6,6
5,Mark Cuban,8,7,7,7,7,7
5,Floyd Mayweather Jr. ,9,8,8,8,8,8
5,Wayne Newton,10,9,9,9,9,9
5,Albert Reed,11,10,10,10,10,10
5,Josie Maran,12,11,11,11,11,11
6,Jason Taylor,2,1,1,2,2,2
6,Cristian de la Fuente,3,2,2,1,1,1
6,Marissa Jaret Winokur,4,3,3,3,3,3
6,Mario,5,4,4,4,4,4
6,Shannon Elizabeth,6,5,5,5,5,5
6,Marlee Matlin,7,6,6,6,6,6
6,Priscilla Presley,8,7,7,7,7,7
6,Adam Carolla,9,8,8,8,8,8
6,Steve Guttenberg,10,9,9,9,9,9
6,Penn Jillette,12,10,10,10,11,11
6,Monica Seles,11,11,11,11,10,10
7,Lance Bass,3,1,2,2,2,1
7,Warren Sapp,2,2,1,1,1,2
7,Cody Linley,4,3,3,3,3,3
7,Maurice Greene,5,4,4,4,4,4
7,Susan Lucci,6,5,5,5,5,5
7,Cloris Leachman,7,6,6,6,6,6
7,Toni Braxton,8,7,7,7,7,7
7,Rocco DiSpirito,9,8,8,8,8,8
7,Misty May-Treanor,10,9,9,9,9,9
7,Kim Kardashian,11,10,10,10,10,10
7,Ted McGinley,12,11,11,11,11,11
7,Jeffrey Ross,13,12,12,12,12,12
8,Shawn Johnson,1,1,1,3,1,1
8,Gilles Marini,2,2,2,1,2,2
8,Melissa Rycroft,3,3,3,2,3,3
8,Ty Murray,4,4,4,4,4,4
8,Lil' Kim,5,5,5,5,5,5
8,Chuck Wicks,6,6,6,6,6,6
8,Lawrence Taylor,7,7,7,7,7,7
8,Steve-O,8,8,8,8,8,8
8,David Alan Grier,9,9,9,9,9,9
8,Holly Madison,11,10,10,10,10,10
8,Steve Wozniak,10,11,11,11,11,11
8,Denise Richards,12,12,12,12,12,12
8,Belinda Carlisle,13,13,13,13,13,13
9,Mya,2,1,1,2,1,1
9,Kelly Osbourne,3,2,2,1,2,2
9,Joanna Krupa,4,3,3,3,3,3
9,Aaron Carter,5,4,4,4,4,4
9,Michael Irvin,7,5,6,6,6,6
9,Mark Dacascos,6,6,5,5,5,5
9,Louie Vito,8,7,8,7,8,8
9,Melissa Joan Hart,9,8,7,8,7,7
9,Natalie Coughlin,10,9,9,9,9,9
9,Chuck Liddell,11,10,10,10,10,10
9,Debi Mazar,12,11,11,11,11,11
9,Tom DeLay,13,12,12,12,12,12
9,Kathy Ireland,14,13,13,13,13,13
9,Ashley Hamiliton,16,14,14,14,15,14
9,Macy Gray,15,15,15,15,14,15
10,Erin Andrews,3,1,1,1,1,1
10,Evan Lysacek,2,2,2,2,2,2
10,Chad Ochocinco,4,3,3,3,3,3
10,Niecy Nash,5,4,4,4,4,4
10,Pamela Anderson,6,5,5,5,5,5
10,Jake Pavelka,7,6,6,6,6,6
10,Kate Gosselin,8,7,7,7,7,7
10,Aiden Turner,9,8,8,8,8,8
10,Buzz Aldrin,10,9,9,9,9,9
10,Shannen Doherty,11,10,10,10,10,10
11,Kyle Massey,2,1,1,1,1,2
11,Bristol Palin,3,2,2,2,2,1
11,Brandy,4,3,3,3,3,3
11,Kurt Warner,5,4,4,4,4,4
11,Rick Fox,6,5,5,5,5,5
11,Audrina Patridge,7,6,6,6,6,6
11,Florence Henderson,8,7,7,7,7,7
11,The Situation,9,8,8,8,8,8
11,Margaret Cho,10,9,9,9,9,9
11,Michael Bolton,11,10,10,10,10,10
11,David Hasselhoff,12,11,11,11,11,11
12,Chelsea Kane,3,1,1,1,1,1
12,Kirstie Alley,2,2,2,2,2,2
12,Ralph Macchio,4,3,3,3,3,3
12,Romeo,5,4,4,4,4,4
12,Kendra Wilkinson,6,5,5,5,5,5
12,Chris Jericho,7,6,6,6,6,6
12,Petra Nemcova,8,7,7,7,7,7
12,Sugar Ray Leonard,9,8,8,8,8,8
12,Wendy Williams,10,9,9,9,9,9
12,Mike Catherwood,11,10,10,10,10,10
13,Rob Kardashian,2,1,1,2,1,2
13,Ricki Lake,3,2,2,1,2,1
13,Hope Solo,4,3,3,3,3,3
13,Nancy Grace,5,4,4,4,4,4
13,David Arquette,6,5,5,5,5,5
13,Chaz Bono,7,6,6,6,6,6
13,Carson Kressley,8,7,7,7,7,7
13,Chynna Phillips,9,8,8,8,8,8
13,Kristin Cavallari,10,9,9,9,9,9
13,Elisabetta Canalis,11,10,10,10,10,10
13,Metta World Peace (Ron),12,11,11,11,11,11
14,Katherine Jenkins,2,1,2,1,1,1
14,William Levy,3,2,1,2,2,2
14,Maria Menounos,4,3,3,3,3,3
14,Roshon Fegan,6,4,4,4,4,5
14,Melissa Gilbert,5,5,5,5,5,4
14,Jaleel White,7,6,6,6,6,6
14,Gladys Knight,8,7,7,7,7,7
14,Gavin DeGraw,9,8,8,8,8,8
14,Sherri Sheperd,10,9,9,9,9,9
14,Jack Wagner,11,10,10,10,10,10
14,Martina Navratilova,12,11,11,11,11,11
15,Kelly Monaco,3,1,2,2,1,1
15,Shawn Johnson,2,2,1,1,2,2
15,Apolo Anton Ohno,5,3,3,3,3,3
15,Emmitt Smith,4,4,4,4,4,4
15,Gilles Marini,6,5,5,5,5,5
15,Kirstie Alley,7,6,6,6,6,6
15,Sabrina Bryan,8,7,7,7,7,7
15,Bristol Palin,9,8,8,8,8,8
15,Helio Castroneves,10,9,9,9,9,9
15,Drew Lachey,11,10,10,10,10,10
15,Joey Fatone,12,11,11,11,11,11
15,Pamela Anderson,13,12,12,12,12,12
16,Zendaya,2,1,2,3,3,3
16,Alexandra Raisman,4,2,1,1,1,1
16,Jacoby Jones,3,3,3,2,2,2
16,Ingo Rademacher,5,4,4,4,4,4
16,Sean Lowe,6,5,5,5,5,5
16,Andy Dick,7,6,6,6,6,6
16,Victor Ortiz,8,7,7,7,7,7
16,D. L. Hughley,9,8,8,8,8,8
16,Lisa Vanderpump,10,9,9,9,9,9
16,Wynonna Judd,11,10,10,10,10,10
16,Dorothy Hamill,12,11,11,11,11,11
17,Amber Riley,1,1,2,3,2,2
17,Corbin Bleu,2,2,1,1,4,1
17,Jack Osbourne,3,3,3,2,1,4
17,Bill Engvall,4,4,4,4,3,3
17,Leah Remini,5,5,5,5,5,5
17,Elizabeth Berkley Lauren,6,6,6,6,6,6
17,Brant Daugherty,7,7,7,7,7,7
17,"Nicole ""Snooki"" Polizzi",8,8,8,8,8,8
17,Christina Milian,9,9,9,9,9,9
17,Valerie Harper,10,10,10,10,10,10
17,Bill Nye,11,11,11,11,11,11
17,Keyshawn Johnson,12,12,12,12,12,12
18,Amy Purdy,2,1,1,1,2,1
18,James Maslow,4,2,2,2,1,3
18,Candace Cameron Bure,3,3,3,3,3,2
18,Charlie White,5,4,4,4,4,4
18,Danica McKellar,6,5,5,5,5,5
18,NeNe Leakes,7,6,6,6,6,6
18,Drew Carey,8,7,7,7,7,7
18,Cody Simpson,9,8,8,8,8,8
18,Sean Avery,11,9,9,9,10,10
18,Billy Dee Williams,10,10,10,10,9,9
18,Diana Nyad,12,11,11,11,11,11
19,Alfonso Ribeiro,1,1,2,1,2,2
19,Sadie Robertson,2,2,3,4,1,4
19,Janel Parrish,3,3,1,3,4,1
19,Bethany Mota,4,4,4,2,3,3
19,Tommy Chong,5,5,5,5,5,5
19,Lea Thompson,6,6,6,6,6,6
19,Michael Waltrip,7,7,7,7,7,7
19,Antonio Sabato Jr.,8,8,8,8,8,8
19,Jonathan Bennett,9,9,9,9,9,9
19,Betsey Johnson,10,10,10,10,10,10
19,Randy Couture,11,11,11,11,11,11
19,Tavis Smiley,12,12,12,12,12,12
19,Lolo Jones,13,13,13,13,13,13
20,Riker Lynch,2,1,1,1,1,1
20,Noah Galloway,3,2,2,2,2,2
20,Nastia Liukin,4,3,3,3,3,3
20,Chris Soules,5,4,4,4,4,4
20,Robert Herjavec,6,5,5,5,5,5
20,Willow Shields,7,6,6,6,6,6
20,Patti LaBelle,8,7,7,7,7,7
20,Suzanne Somers,9,8,8,8,8,8
20,Michael Sam,10,9,9,9,9,9
20,Charlotte McKinney,11,10,10,10,10,10
20,Redfoo,12,11,11,11,11,11
21,Bindi Irwin,1,1,1,1,1,1
21,Carlos PenaVega,4,2,2,2,3,3
21,Nick Carter,2,3,3,4,4,4
21,Alek Skarlatos,3,4,4,3,2,2
21,Alexa PenaVega,6,5,5,5,5,5
21,Tamar Braxton,5,6,6,6,6,6
21,Andy Grammer,7,7,7,7,7,7
21,Hayes Grier,8,8,8,8,8,8
21,Paula Deen,9,9,9,9,9,9
21,Gary Busey,10,10,10,10,10,10
21,Kim Zolciak-Biermann,11,11,12,12,13,13
21,Victor Espinoza,12,12,11,11,11,11
21,Chaka Khan,13,13,13,13,12,12
22,Paige VanZant,2,1,1,2,1,1
22,Ginger Zee,3,2,2,1,2,2
22,Wanya Morris,4,3,3,3,3,3
22,Antonio Brown,5,4,4,4,4,4
22,Jodie Sweetin,6,5,5,5,5,5
22,Kim Fields,8,6,7,7,7,7
22,Von Miller,7,7,6,6,6,6
22,Doug Flutie,9,8,8,8,8,8
22,Marla Maples,10,9,9,9,9,9
22,Mischa Barton,11,10,10,10,10,10
22,Geraldo Rivera,12,11,11,11,11,11
23,Laurie Hernandez,1,1,1,4,1,1
23,James Hinchcliffe,2,2,2,2,3,3
23,Calvin Johnson Jr.,3,3,3,1,2,2
23,Jana Kramer,4,4,4,3,4,4
23,Terra Jole,5,5,5,5,5,5
23,Marilu Henner,6,6,6,6,6,6
23,Ryan Lochte,7,7,7,7,7,7
23,Maureen McCormick,8,8,8,8,8,8
23,Amber Rose,9,9,9,9,9,9
23,Vanilla Ice,10,10,10,10,10,10
23,Babyface,11,11,11,11,11,11
23,Rick Perry,12,12,12,12,12,12
23,Jake T. Austin,13,13,13,13,13,13
24,Normani,3,1,1,1,1,1
24,David Ross,2,2,2,2,2,2
24,Simone Biles,4,3,3,3,3,3
24,Bonner Bolton,5,4,4,4,4,4
24,Nancy Kerrigan,7,5,5,5,5,5
24,Nick Viall,6,6,6,6,6,6
24,Heather Morris,8,7,7,7,7,7
24,Erika Jayne,9,8,8,8,8,8
24,Mr. T,10,9,9,9,9,9
24,Charo,11,10,10,10,10,10
24,Chris Kattan,12,11,11,11,11,11
25,Lindsey Stirling,2,1,1,2,3,3
25,Frankie Muniz,3,2,2,1,2,2
25,Drew Scott,4,3,3,3,1,1
25,Victoria Arlen,5,4,4,4,4,4
25,Terrell Owens,6,5,5,5,5,5
25,Vanessa Lachey,7,6,6,6,6,6
25,Nikki Bella,8,7,7,7,7,7
25,Nick Lachey,9,8,8,8,8,8
25,Sasha Pieterse,10,9,9,9,9,9
25,Derek Fisher,11,10,10,10,10,10
25,Debbie Gibson,12,11,11,11,11,11
25,Barbara Corcoran,13,12,12,12,12,12
26,Josh Norman,2,1,1,1,2,1
26,Tonya Harding,3,2,2,2,1,2
26,Mirai Nagasu,4,3,3,3,3,3
26,Chris Mazdzer,5,4,4,4,4,4
26,Jennie Finch Daigle,6,5,5,5,5,5
26,Arike Ogunbowale,7,6,6,6,6,6
26,Kareem Abdul-Jabbar,8,7,7,7,7,7
26,Jamie Anderson,10,8,8,8,8,8
26,Johnny Damon,9,9,9,9,9,9
27,Evanna Lynch,3,1,1,2,1,1
27,Milo Manheim,2,2,2,3,3,3
27,Alexis Ren,4,3,3,1,2,2
27,Juan Pablo Di Pace,5,4,4,4,4,4
27,Joe Amabile,6,5,5,5,5,5
27,John Schneider,8,6,7,7,7,7
27,DeMarcus Ware,7,7,6,6,6,6
27,Mary Lou Retton,9,8,8,8,8,8
27,Tinashe,10,9,9,9,9,9
27,Nancy McKeon,11,10,10,10,10,10
27,Danelle Umstead,12,11,11,11,11,11
27,Nikki Glaser,13,12,12,12,12,12
28,Ally Brooke,3,1,1,1,2,1
28,Kel Mitchell,2,2,2,3,4,3
28,Hannah Brown,1,3,3,2,3,2
28,Lauren Alaina,4,4,4,4,1,4
28,James Van Der Beek,5,5,5,5,5,5
28,Sean Spicer,6,6,6,6,6,6
28,Kate Flannery,7,7,7,7,7,7
28,Karamo Brown,8,8,8,8,8,8
28,Sailor Brinkley-Cook,9,9,9,9,9,9
28,Lamar Odom,10,10,10,10,10,10
28,Mary Wilson,12,11,11,11,11,11
28,Ray Lewis,11,12,12,12,12,12
29,Justina Machado,4,1,3,3,2,2
29,Kaitlyn Bristowe,1,2,2,2,3,3
29,Nev Schulman,2,3,1,1,1,1
29,Nelly,3,4,4,4,4,4
29,Johnny Weir,6,5,5,5,5,5
29,Skai Jackson,5,6,6,6,6,6
29,AJ McLean,7,7,7,7,7,7
29,Chrishell Stause,8,8,8,8,8,8
29,Jeannie Mai,9,9,10,9,9,10
29,Monica Aldama,10,10,9,10,10,9
29,Veron Davis,11,11,11,11,11,11
29,Jesse Metcalfe,12,12,12,12,12,12
29,Anne Heche,13,13,13,13,13,13
29,Carole Baskin,14,14,14,14,14,14
29,Charles Oakley,15,15,15,15,15,15
30,JoJo Siwa,2,1,1,2,1,1
30,Amanda Kloots,4,2,2,1,2,2
30,Cody Rigsby,3,3,3,3,3,3
30,Suni Lee,5,4,4,4,4,4
30,Melora Hardin,6,5,5,5,5,5
30,Olivia Jade,8,6,6,6,6,6
30,Jimmie Allen,7,7,7,7,7,7
30,"Mike ""The Miz"" Mizanin",9,8,8,8,8,8
30,Kenya Moore,10,9,9,9,9,9
30,Melanie C,11,10,10,10,10,10
30,Matt James,12,11,11,11,11,11
30,Brian Austin Green,13,12,12,12,12,12
30,Christine Chiu,14,13,13,13,13,13
30,Martin Kove,15,14,14,14,14,14
31,Gabby Windey,2,1,1,1,2,1
31,Shangela,4,2,3,3,3,2
31,Wayne Brady,3,3,2,2,1,3
31,Daniel Durant,5,4,5,4,4,4
31,Trevor Donovan,6,5,4,5,5,5
31,Heidi D'Amelio,8,6,6,6,6,6
31,Vinny Guadagnino,7,7,7,7,7,7
31,Jordin Sparks,9,8,8,8,8,8
31,Jessie James Decker,10,9,9,9,9,9
31,Selma Blair,12,10,10,10,10,10
31,Joseph Baena,11,11,11,11,11,11
31,Sam Champion,13,12,12,12,12,12
31,Cheryl Ladd,14,13,13,13,13,13
31,Teresa Giudice,15,14,14,14,14,14
31,Jason Lewis,16,15,15,15,15,15
32,Jason Mraz,2,1,4,4,4,5
32,Xochitl Gomez,1,2,1,3,5,1
32,Ariana Madix,3,3,2,1,1,3
32,Charity Lawson,4,4,3,2,3,4
32,Alyson Hannigan,5,5,5,5,2,2
32,Harry Jowsey,6,6,6,6,6,6
32,Barry Williams,7,7,7,7,7,7
32,Lele Pons,8,8,8,8,8,8
32,Mauricio Umansky,9,9,9,9,9,9
32,Mira Sorvino,10,10,10,10,10,10
32,Adrian Peterson,11,11,11,11,11,11
32,Tyson Beckford,12,12,12,12,12,12
32,Jamie Lynn Spears,13,13,13,13,13,13
32,Matt Walsh,14,14,14,14,14,14
33,Chandler Kinney,3,1,1,1,1,1
33,Stephen Nedoroscik,4,2,2,4,4,4
33,Ilona Maher,2,3,3,3,3,3
33,Danny Amendola,5,4,4,2,2,2
33,Dwight Howard ,6,5,5,5,5,5
33,Jenn Tran,7,6,6,6,6,6
33,Phaedra Parks,8,7,7,7,7,7
33,Brooks Nader,9,8,8,8,8,8
33,Eric Roberts,10,9,9,9,9,9
33,Reginald VelJohnson,10,10,10,10,10,10
33,Tori Spelling,12,11,11,11,11,11
33,Anna Delvey,12,12,12,12,12,12
34,Alix Earle,2,1,2,2,2,2
34,Jordan Chiles,3,2,1,1,1,1
34,Robert Irwin,1,3,3,5,5,5
34,Dylan Efron,4,4,4,3,3,3
34,Elaine Hendrix,5,5,5,4,4,4
34,Whitney Leavitt,6,6,6,6,6,6
34,Andy Richter,7,7,7,7,7,7
34,Danielle Fishel,8,8,8,8,8,8
34,Jen Affleck,9,9,9,9,9,9
34,Scott Hoying,10,10,10,10,10,10
34,Hilaria Baldwin,11,11,11,11,11,11
34,Lauren Jauregui,12,12,12,12,12,12
34,Baron Davis,13,13,13,13,13,13
34,Corey Feldman,13,14,14,14,14,14
