season,celebrity_name,n_weeks_participated,placement,low_judge_safe_weeks,low_judge_safe_pct,low_judge_went_far
1,Evander Holyfield,3,5,1,0.3333333333333333,False
1,Joey McIntyre,5,3,1,0.2,False
1,John O'Hurley,6,2,1,0.16666666666666666,False
1,Kelly Monaco,6,1,5,0.8333333333333334,True
1,Rachel Hunter,4,4,0,0.0,False
1,Trista Sutter,2,6,0,0.0,False
2,Drew Lachey,8,1,0,0.0,False
2,George Hamilton,6,5,1,0.16666666666666666,False
2,Giselle Fernandez,3,8,0,0.0,False
2,Jerry Rice,8,2,4,0.5,True
2,Kenny Mayne,1,10,0,0.0,False
2,Lisa Rinna,7,4,1,0.14285714285714285,False
2,Master P,4,7,3,0.75,False
2,Stacy Keibler,8,3,0,0.0,False
2,Tatum O'Neal,2,9,0,0.0,False
2,Tia Carrere,5,6,0,0.0,False
3,Emmitt Smith,10,1,3,0.3,False
3,Harry Hamlin,3,9,0,0.0,False
3,Jerry Springer,7,5,5,0.7142857142857143,True
3,Joey Lawrence,9,3,1,0.1111111111111111,False
3,Mario Lopez,10,2,1,0.1,False
3,Monique Coleman,8,4,2,0.25,False
3,Sara Evans,5,6,2,0.4,False
3,Shanna Moakler,2,10,0,0.0,False
3,Tucker Carlson,1,11,0,0.0,False
3,Vivica A. Fox,4,8,0,0.0,False
3,Willa Ford,5,7,0,0.0,False
4,Apolo Anton Ohno,10,1,1,0.1,False
4,Billy Ray Cyrus,8,5,4,0.5,True
4,Clyde Drexler,5,8,3,0.6,False
4,Heather Mills,6,7,0,0.0,False
4,Ian Ziering,9,4,1,0.1111111111111111,False
4,Joey Fatone,10,2,0,0.0,False
4,John Ratzenberger,7,6,2,0.2857142857142857,False
4,Laila Ali,10,3,0,0.0,False
4,Leeza Gibbons,4,9,1,0.25,False
4,Paulina Porizkova,2,11,0,0.0,False
4,Shandi Finnessey,3,10,1,0.3333333333333333,False
5,Albert Reed,2,11,0,0.0,False
5,Cameron Mathison,8,5,1,0.125,False
5,Floyd Mayweather Jr. ,4,9,1,0.25,False
5,Helio Castroneves,10,1,2,0.2,False
5,Jane Seymour,7,6,1,0.14285714285714285,False
5,Jennie Garth,9,4,1,0.1111111111111111,False
5,Josie Maran,1,12,0,0.0,False
5,Marie Osmond,10,3,4,0.4,True
5,Mark Cuban,5,8,3,0.6,False
5,Mel B,10,2,0,0.0,False
5,Sabrina Bryan,6,7,0,0.0,False
5,Wayne Newton,3,10,1,0.3333333333333333,False
6,Adam Carolla,4,9,1,0.25,False
6,Cristian de la Fuente,10,3,1,0.1,False
6,Jason Taylor,10,2,2,0.2,False
6,Kristi Yamaguchi,10,1,0,0.0,False
6,Mario,8,5,0,0.0,False
6,Marissa Jaret Winokur,9,4,2,0.2222222222222222,False
6,Marlee Matlin,6,7,1,0.16666666666666666,False
6,Monica Seles,2,11,1,0.5,False
6,Penn Jillette,2,12,1,0.5,False
6,Priscilla Presley,5,8,1,0.2,False
6,Shannon Elizabeth,7,6,0,0.0,False
6,Steve Guttenberg,3,10,1,0.3333333333333333,False
7,Brooke Burke,10,1,1,0.1,False
7,Cloris Leachman,6,7,4,0.6666666666666666,False
7,Cody Linley,9,4,2,0.2222222222222222,False
7,Jeffrey Ross,1,13,0,0.0,False
7,Kim Kardashian,2,11,0,0.0,False
7,Lance Bass,10,3,2,0.2,False
7,Maurice Greene,8,5,2,0.25,False
7,Misty May-Treanor,2,10,0,0.0,False
7,Rocco DiSpirito,4,9,2,0.5,False
7,Susan Lucci,7,6,0,0.0,False
7,Ted McGinley,1,12,0,0.0,False
7,Toni Braxton,5,8,0,0.0,False
7,Warren Sapp,10,2,1,0.1,False
8,Belinda Carlisle,2,13,0,0.0,False
8,Chuck Wicks,8,6,0,0.0,False
8,David Alan Grier,5,9,0,0.0,False
8,Denise Richards,3,12,0,0.0,False
8,Gilles Marini,11,2,0,0.0,False
8,Holly Madison,4,11,0,0.0,False
8,Lawrence Taylor,7,7,1,0.14285714285714285,False
8,Lil' Kim,9,5,0,0.0,False
8,Melissa Rycroft,11,3,2,0.18181818181818182,False
8,Shawn Johnson,11,1,0,0.0,False
8,Steve Wozniak,4,10,2,0.5,False
8,Steve-O,6,8,4,0.6666666666666666,False
8,Ty Murray,10,4,4,0.4,True
9,Aaron Carter,8,5,0,0.0,False
9,Ashley Hamiliton,1,16,0,0.0,False
9,Chuck Liddell,4,11,0,0.0,False
9,Debi Mazar,3,12,0,0.0,False
9,Donny Osmond,10,1,2,0.2,False
9,Joanna Krupa,9,4,0,0.0,False
9,Kathy Ireland,2,14,0,0.0,False
9,Kelly Osbourne,10,3,2,0.2,False
9,Louie Vito,6,8,1,0.16666666666666666,False
9,Macy Gray,1,15,0,0.0,False
9,Mark Dacascos,7,6,0,0.0,False
9,Melissa Joan Hart,6,9,0,0.0,False
9,Michael Irvin,7,7,5,0.7142857142857143,False
9,Mya,10,2,0,0.0,False
9,Natalie Coughlin,5,10,0,0.0,False
9,Tom DeLay,3,13,1,0.3333333333333333,False
10,Aiden Turner,4,9,1,0.25,False
10,Buzz Aldrin,3,10,2,0.6666666666666666,False
10,Chad Ochocinco,9,4,1,0.1111111111111111,False
10,Erin Andrews,10,3,1,0.1,False
10,Evan Lysacek,10,2,0,0.0,False
10,Jake Pavelka,6,7,0,0.0,False
10,Kate Gosselin,5,8,3,0.6,False
10,Nicole Scherzinger,10,1,0,0.0,False
10,Niecy Nash,8,5,2,0.25,False
10,Pamela Anderson,7,6,0,0.0,False
10,Shannen Doherty,2,11,0,0.0,False
11,Audrina Patridge,6,7,0,0.0,False
11,Brandy,9,4,0,0.0,False
11,Bristol Palin,10,3,7,0.7,True
11,David Hasselhoff,1,12,0,0.0,False
11,Florence Henderson,5,8,0,0.0,False
11,Jennifer Grey,10,1,0,0.0,False
11,Kurt Warner,8,5,1,0.125,False
11,Kyle Massey,10,2,2,0.2,False
11,Margaret Cho,3,10,1,0.3333333333333333,False
11,Michael Bolton,2,11,1,0.5,False
11,Rick Fox,7,6,0,0.0,False
11,The Situation,4,9,1,0.25,False
12,Chelsea Kane,10,3,0,0.0,False
12,Chris Jericho,6,7,0,0.0,False
12,Hines Ward,10,1,0,0.0,False
12,Kendra Wilkinson,7,6,2,0.2857142857142857,False
12,Kirstie Alley,10,2,3,0.3,False
12,Mike Catherwood,2,11,1,0.5,False
12,Petra Nemcova,5,8,0,0.0,False
12,Ralph Macchio,9,4,3,0.3333333333333333,False
12,Romeo,8,5,1,0.125,False
12,Sugar Ray Leonard,4,9,1,0.25,False
12,Wendy Williams,3,10,2,0.6666666666666666,False
13,Carson Kressley,5,8,1,0.2,False
13,Chaz Bono,6,7,3,0.5,False
13,Chynna Phillips,4,9,0,0.0,False
13,David Arquette,7,6,0,0.0,False
13,Elisabetta Canalis,2,11,1,0.5,False
13,Hope Solo,9,4,1,0.1111111111111111,False
13,J.R. Martinez,10,1,2,0.2,False
13,Kristin Cavallari,3,10,0,0.0,False
13,Metta World Peace (Ron),1,12,0,0.0,False
13,Nancy Grace,8,5,2,0.25,False
13,Ricki Lake,10,3,0,0.0,False
13,Rob Kardashian,10,2,1,0.1,False
14,Donald Driver,10,1,2,0.2,False
14,Gavin DeGraw,5,9,2,0.4,False
14,Gladys Knight,6,8,3,0.5,False
14,Jack Wagner,3,11,0,0.0,False
14,Jaleel White,7,7,0,0.0,False
14,Katherine Jenkins,10,2,1,0.1,False
14,Maria Menounos,9,4,1,0.1111111111111111,False
14,Martina Navratilova,2,12,1,0.5,False
14,Melissa Gilbert,8,5,4,0.5,True
14,Roshon Fegan,8,6,1,0.125,False
14,Sherri Sheperd,4,10,1,0.25,False
14,William Levy,10,3,0,0.0,False
15,Apolo Anton Ohno,9,5,1,0.1111111111111111,False
15,Bristol Palin,4,9,2,0.5,False
15,Drew Lachey,3,11,0,0.0,False
15,Emmitt Smith,9,4,1,0.1111111111111111,False
15,Gilles Marini,8,6,0,0.0,False
15,Helio Castroneves,3,10,0,0.0,False
15,Joey Fatone,2,12,0,0.0,False
15,Kelly Monaco,10,3,3,0.3,False
15,Kirstie Alley,8,7,5,0.625,False
15,Melissa Rycroft,10,1,0,0.0,False
15,Pamela Anderson,1,13,0,0.0,False
15,Sabrina Bryan,6,8,0,0.0,False
15,Shawn Johnson,10,2,1,0.1,False
16,Alexandra Raisman,10,4,0,0.0,False
16,Andy Dick,7,7,3,0.42857142857142855,False
16,D. L. Hughley,5,9,3,0.6,False
16,Dorothy Hamill,2,12,0,0.0,False
16,Ingo Rademacher,9,5,1,0.1111111111111111,False
16,Jacoby Jones,10,3,0,0.0,False
16,Kellie Pickler,10,1,0,0.0,False
16,Lisa Vanderpump,4,10,0,0.0,False
16,Sean Lowe,8,6,2,0.25,False
16,Victor Ortiz,6,8,1,0.16666666666666666,False
16,Wynonna Judd,3,11,0,0.0,False
16,Zendaya,10,2,1,0.1,False
17,Amber Riley,11,1,1,0.09090909090909091,False
17,Bill Engvall,11,4,6,0.5454545454545454,True
17,Bill Nye,3,11,2,0.6666666666666666,False
17,Brant Daugherty,8,7,0,0.0,False
17,Christina Milian,5,9,0,0.0,False
17,Corbin Bleu,11,2,0,0.0,False
17,Elizabeth Berkley Lauren,9,6,1,0.1111111111111111,False
17,Jack Osbourne,11,3,2,0.18181818181818182,False
17,Keyshawn Johnson,2,12,1,0.5,False
17,Leah Remini,10,5,2,0.2,False
17,"Nicole ""Snooki"" Polizzi",7,8,0,0.0,False
17,Valerie Harper,4,10,1,0.25,False
18,Amy Purdy,10,2,0,0.0,False
18,Billy Dee Williams,2,10,1,0.5,False
18,Candace Cameron Bure,10,3,4,0.4,True
18,Charlie White,9,5,0,0.0,False
18,Cody Simpson,5,9,1,0.2,False
18,Danica McKellar,8,6,0,0.0,False
18,Diana Nyad,1,12,0,0.0,False
18,Drew Carey,6,8,2,0.3333333333333333,False
18,James Maslow,10,4,2,0.2,False
18,Meryl Davis,10,1,1,0.1,False
18,NeNe Leakes,7,7,2,0.2857142857142857,False
18,Sean Avery,2,11,0,0.0,False
19,Alfonso Ribeiro,11,1,0,0.0,False
19,Antonio Sabato Jr.,7,8,1,0.14285714285714285,False
19,Bethany Mota,11,4,0,0.0,False
19,Betsey Johnson,4,10,1,0.25,False
19,Janel Parrish,11,3,0,0.0,False
19,Jonathan Bennett,6,9,1,0.16666666666666666,False
19,Lea Thompson,9,6,0,0.0,False
19,Lolo Jones,1,13,0,0.0,False
19,Michael Waltrip,8,7,6,0.75,False
19,Randy Couture,3,11,0,0.0,False
19,Sadie Robertson,11,2,1,0.09090909090909091,False
19,Tavis Smiley,2,12,0,0.0,False
19,Tommy Chong,10,5,4,0.4,True
20,Charlotte McKinney,3,11,2,0.6666666666666666,False
20,Chris Soules,8,5,3,0.375,False
20,Michael Sam,4,10,1,0.25,False
20,Nastia Liukin,9,4,0,0.0,False
20,Noah Galloway,10,3,2,0.2,False
20,Patti LaBelle,6,8,1,0.16666666666666666,False
20,Redfoo,2,12,1,0.5,False
20,Riker Lynch,10,2,0,0.0,False
20,Robert Herjavec,8,6,3,0.375,False
20,Rumer Willis,10,1,1,0.1,False
20,Suzanne Somers,5,9,1,0.2,False
20,Willow Shields,7,7,0,0.0,False
21,Alek Skarlatos,11,3,4,0.36363636363636365,False
21,Alexa PenaVega,9,6,0,0.0,False
21,Andy Grammer,8,7,0,0.0,False
21,Bindi Irwin,11,1,0,0.0,False
21,Carlos PenaVega,11,4,0,0.0,False
21,Chaka Khan,2,13,1,0.5,False
21,Gary Busey,4,10,2,0.5,False
21,Hayes Grier,7,8,0,0.0,False
21,Kim Zolciak-Biermann,2,11,1,0.5,False
21,Nick Carter,11,2,1,0.09090909090909091,False
21,Paula Deen,6,9,3,0.5,False
21,Tamar Braxton,9,5,0,0.0,False
21,Victor Espinoza,2,12,0,0.0,False
22,Antonio Brown,9,5,2,0.2222222222222222,False
22,Doug Flutie,6,9,2,0.3333333333333333,False
22,Geraldo Rivera,2,12,1,0.5,False
22,Ginger Zee,10,3,1,0.1,False
22,Jodie Sweetin,8,6,2,0.25,False
22,Kim Fields,7,8,0,0.0,False
22,Marla Maples,4,10,0,0.0,False
22,Mischa Barton,3,11,1,0.3333333333333333,False
22,Nyle DiMarco,10,1,1,0.1,False
22,Paige VanZant,10,2,0,0.0,False
22,Von Miller,7,7,0,0.0,False
22,Wanya Morris,9,4,1,0.1111111111111111,False
23,Amber Rose,6,9,1,0.16666666666666666,False
23,Babyface,4,11,0,0.0,False
23,Calvin Johnson Jr.,11,3,3,0.2727272727272727,False
23,Jake T. Austin,2,13,0,0.0,False
23,James Hinchcliffe,11,2,1,0.09090909090909091,False
23,Jana Kramer,11,4,1,0.09090909090909091,False
23,Laurie Hernandez,11,1,1,0.09090909090909091,False
23,Marilu Henner,9,6,3,0.3333333333333333,False
23,Maureen McCormick,7,8,1,0.14285714285714285,False
23,Rick Perry,3,12,2,0.6666666666666666,False
23,Ryan Lochte,8,7,1,0.125,False
23,Terra Jole,10,5,1,0.1,False
23,Vanilla Ice,4,10,1,0.25,False
24,Bonner Bolton,8,5,3,0.375,False
24,Charo,3,11,0,0.0,False
24,Chris Kattan,2,12,1,0.5,False
24,David Ross,10,2,5,0.5,True
24,Erika Jayne,5,9,0,0.0,False
24,Heather Morris,6,8,0,0.0,False
24,Mr. T,4,10,3,0.75,False
24,Nancy Kerrigan,7,7,0,0.0,False
24,Nick Viall,7,6,1,0.14285714285714285,False
24,Normani,10,3,1,0.1,False
24,Rashad Jennings,10,1,0,0.0,False
24,Simone Biles,9,4,0,0.0,False
25,Barbara Corcoran,2,13,1,0.5,False
25,Debbie Gibson,2,12,0,0.0,False
25,Derek Fisher,4,11,0,0.0,False
25,Drew Scott,10,4,3,0.3,False
25,Frankie Muniz,10,3,1,0.1,False
25,Jordan Fisher,10,1,0,0.0,False
25,Lindsey Stirling,10,2,0,0.0,False
25,Nick Lachey,6,9,2,0.3333333333333333,False
25,Nikki Bella,7,8,0,0.0,False
25,Sasha Pieterse,5,10,1,0.2,False
25,Terrell Owens,8,6,2,0.25,False
25,Vanessa Lachey,7,7,0,0.0,False
25,Victoria Arlen,9,5,1,0.1111111111111111,False
26,Adam Rippon,4,1,0,0.0,False
26,Arike Ogunbowale,2,7,0,0.0,False
26,Chris Mazdzer,3,5,0,0.0,False
26,Jamie Anderson,1,10,0,0.0,False
26,Jennie Finch Daigle,3,6,0,0.0,False
26,Johnny Damon,1,9,0,0.0,False
26,Josh Norman,4,2,0,0.0,False
26,Kareem Abdul-Jabbar,2,8,1,0.5,False
26,Mirai Nagasu,3,4,0,0.0,False
26,Tonya Harding,4,3,0,0.0,False
27,Alexis Ren,9,4,0,0.0,False
27,Bobby Bones,9,1,4,0.4444444444444444,True
27,Danelle Umstead,2,12,0,0.0,False
27,DeMarcus Ware,7,7,0,0.0,False
27,Evanna Lynch,9,3,0,0.0,False
27,Joe Amabile,8,6,6,0.75,False
27,John Schneider,7,8,2,0.2857142857142857,False
27,Juan Pablo Di Pace,8,5,0,0.0,False
27,Mary Lou Retton,6,9,0,0.0,False
27,Milo Manheim,9,2,0,0.0,False
27,Nancy McKeon,3,11,0,0.0,False
27,Nikki Glaser,1,13,0,0.0,False
27,Tinashe,4,10,0,0.0,False
28,Ally Brooke,11,3,0,0.0,False
28,Hannah Brown,11,1,2,0.18181818181818182,False
28,James Van Der Beek,10,5,0,0.0,False
28,Karamo Brown,7,8,1,0.14285714285714285,False
28,Kate Flannery,8,7,1,0.125,False
28,Kel Mitchell,11,2,0,0.0,False
28,Lamar Odom,4,10,3,0.75,False
28,Lauren Alaina,11,4,2,0.18181818181818182,False
28,Mary Wilson,2,12,0,0.0,False
28,Ray Lewis,2,11,0,0.0,False
28,Sailor Brinkley-Cook,6,9,0,0.0,False
28,Sean Spicer,9,6,7,0.7777777777777778,False
29,AJ McLean,9,7,0,0.0,False
29,Anne Heche,4,13,1,0.25,False
29,Carole Baskin,3,14,1,0.3333333333333333,False
29,Charles Oakley,2,15,1,0.5,False
29,Chrishell Stause,8,8,1,0.125,False
29,Jeannie Mai,7,9,1,0.14285714285714285,False
29,Jesse Metcalfe,5,12,1,0.2,False
29,Johnny Weir,10,6,0,0.0,False
29,Justina Machado,11,4,0,0.0,False
29,Kaitlyn Bristowe,11,1,1,0.09090909090909091,False
29,Monica Aldama,7,10,0,0.0,False
29,Nelly,11,3,4,0.36363636363636365,False
29,Nev Schulman,11,2,0,0.0,False
29,Skai Jackson,10,5,3,0.3,False
29,Veron Davis,6,11,1,0.16666666666666666,False
30,Amanda Kloots,10,4,0,0.0,False
30,Brian Austin Green,4,13,0,0.0,False
30,Christine Chiu,3,14,0,0.0,False
30,Cody Rigsby,10,3,2,0.2,False
30,Iman Shumpert,10,1,3,0.3,False
30,Jimmie Allen,8,7,0,0.0,False
30,JoJo Siwa,10,2,0,0.0,False
30,Kenya Moore,6,10,0,0.0,False
30,Martin Kove,2,15,1,0.5,False
30,Matt James,4,12,1,0.25,False
30,Melanie C,5,11,0,0.0,False
30,Melora Hardin,9,6,0,0.0,False
30,"Mike ""The Miz"" Mizanin",7,9,0,0.0,False
30,Olivia Jade,8,8,0,0.0,False
30,Suni Lee,9,5,0,0.0,False
31,Charli D'Amelio,10,1,0,0.0,False
31,Cheryl Ladd,3,14,1,0.3333333333333333,False
31,Daniel Durant,9,5,1,0.1111111111111111,False
31,Gabby Windey,10,2,0,0.0,False
31,Heidi D'Amelio,8,8,0,0.0,False
31,Jason Lewis,1,16,0,0.0,False
31,Jessie James Decker,6,10,0,0.0,False
31,Jordin Sparks,7,9,0,0.0,False
31,Joseph Baena,5,11,0,0.0,False
31,Sam Champion,4,13,0,0.0,False
31,Selma Blair,5,12,0,0.0,False
31,Shangela,10,4,0,0.0,False
31,Teresa Giudice,2,15,0,0.0,False
31,Trevor Donovan,9,6,0,0.0,False
31,Vinny Guadagnino,8,7,5,0.625,False
31,Wayne Brady,10,3,0,0.0,False
32,Adrian Peterson,4,11,1,0.25,False
32,Alyson Hannigan,11,5,6,0.5454545454545454,True
32,Ariana Madix,11,3,0,0.0,False
32,Barry Williams,8,7,2,0.25,False
32,Charity Lawson,11,4,0,0.0,False
32,Harry Jowsey,9,6,5,0.5555555555555556,False
32,Jamie Lynn Spears,2,13,0,0.0,False
32,Jason Mraz,11,2,2,0.18181818181818182,False
32,Lele Pons,7,8,0,0.0,False
32,Matt Walsh,1,14,0,0.0,False
32,Mauricio Umansky,6,9,2,0.3333333333333333,False
32,Mira Sorvino,5,10,0,0.0,False
32,Tyson Beckford,3,12,1,0.3333333333333333,False
32,Xochitl Gomez,11,1,0,0.0,False
33,Anna Delvey,2,12,0,0.0,False
33,Brooks Nader,4,9,0,0.0,False
33,Chandler Kinney,9,3,0,0.0,False
33,Danny Amendola,9,5,2,0.2222222222222222,False
33,Dwight HowardÂ ,7,6,2,0.2857142857142857,False
33,Eric Roberts,3,10,2,0.6666666666666666,False
33,Ilona Maher,9,2,1,0.1111111111111111,False
33,Jenn Tran,6,7,0,0.0,False
33,Joey Graziadei,9,1,0,0.0,False
33,Phaedra Parks,5,8,0,0.0,False
33,Reginald VelJohnson,3,10,2,0.6666666666666666,False
33,Stephen Nedoroscik,9,4,2,0.2222222222222222,False
33,Tori Spelling,2,12,0,0.0,False
34,Alix Earle,11,2,0,0.0,False
34,Andy Richter,9,7,8,0.8888888888888888,False
34,Baron Davis,2,13,0,0.0,False
34,Corey Feldman,2,13,1,0.5,False
34,Danielle Fishel,8,8,0,0.0,False
34,Dylan Efron,11,4,1,0.09090909090909091,False
34,Elaine Hendrix,11,5,2,0.18181818181818182,False
34,Hilaria Baldwin,4,11,0,0.0,False
34,Jen Affleck,7,9,1,0.14285714285714285,False
34,Jordan Chiles,11,3,0,0.0,False
34,Lauren Jauregui,3,12,0,0.0,False
34,Robert Irwin,11,1,0,0.0,False
34,Scott Hoying,6,10,0,0.0,False
34,Whitney Leavitt,10,6,0,0.0,False
